(phosphorylation of MAPKK-P).k4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.75842e-05	90424.7
2.01894e-05	95038.4
2.31805e-05	95529.8
2.66148e-05	78278.9
3.05578e-05	77934.9
3.50851e-05	79001
4.02831e-05	78728
4.62512e-05	96117.6
5.31034e-05	94077.9
6.09709e-05	74993
7.0004e-05	74701.5
8.03753e-05	75243.4
9.22832e-05	76986.9
0.000105955	91321.4
0.000121653	76109.4
0.000139676	74990.2
0.00016037	76212.5
0.000184129	75589
0.000211409	73717.5
0.00024273	68590.1
0.000278691	73137.1
0.00031998	72764.3
0.000367386	69437.2
0.000421816	64839.5
0.000484309	69780.5
0.000556061	64556.2
0.000638444	62967.2
0.000733031	62454
0.000841633	57685.1
0.000966324	55387.4
0.00110949	56763.8
0.00127386	52267.5
0.00146259	50408.4
0.00167928	51163.3
0.00192807	47630.4
0.00221372	43790.5
0.00254169	37677.3
0.00291825	32915.4
0.0033506	30241.6
0.003847	24574.9
0.00441695	21189.7
0.00507134	18006.8
0.00582268	14824.2
0.00668533	11597.1
0.00767578	8510.61
0.00881298	5930.66
0.0101187	4058.81
0.0116178	2900.78
0.013339	2108.15
0.0153152	1735.44
0.0175842	1687.74
0.0201894	1728.69
0.0231805	1932.46
0.0266148	1770.6
0.0305578	1921.15
0.0350851	2741.93
0.0402831	2040.43
0.0462512	4265.94
0.0531034	5288.91
0.0609709	5243.07
0.070004	6212.17
0.0803753	5787.32
0.0922832	6357.32
0.105955	3864.95
0.121653	6374.71
0.139676	6800.95
0.16037	6658.06
0.184129	6712.83
0.211409	7823.72
0.24273	7141.78
0.278691	7261.14
0.31998	7159.8
0.367386	7268.14
0.421816	7796.88
0.484309	7686.14
0.556061	8108.54
0.638444	7609.14
0.733031	7986.14
0.841633	7980.4
0.966324	8009.1
1.10949	8157.86
1.27386	8726.83
1.46259	7782.85
1.67928	9158.13
1.92807	9284.15
2.21372	9724.77
2.54169	9917.26
2.91825	10861.1
3.3506	10204.8
3.847	10817.5
4.41695	22081.6
5.07134	11279.1
5.82268	11735.6
6.68533	16743.3
7.67578	18493.4
8.81298	17420
10.1187	22947.8
11.6178	14120
13.339	21928.8
15.3152	19005.3
17.5842	19881.8
