(dephosphorylation of MAPK-P).KK10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.341508	14024.7
0.392104	14059.1
0.450195	14042.7
0.516893	13959.7
0.593473	13821.6
0.681398	13854.1
0.78235	11295.3
0.898258	12601.3
1.03134	11816.7
1.18413	12205.1
1.35957	10551
1.56099	10845
1.79226	10473.8
2.05779	9656.14
2.36266	9681.82
2.71269	9193.07
3.11459	9074.91
3.57603	8396.96
4.10583	8350.74
4.71412	7498.01
5.41254	7042.31
6.21442	6605.27
7.13511	6046.82
8.19221	5575.02
9.40591	5109.12
10.7994	4696.21
12.3994	4313.74
14.2364	3954.88
16.3456	3681.32
18.7673	3379.27
21.5477	3132.84
24.7401	2897.06
28.4054	2679.13
32.6138	2498.83
37.4456	2319.4
42.9933	2093.59
49.3629	2034.94
56.6762	2008.29
65.073	1897.24
74.7138	1838.5
85.7829	1792.34
98.492	1758.38
113.084	1734.97
129.838	1719.23
149.074	1710.85
171.159	1699.82
196.517	1694.46
225.632	1689.77
259.06	1689.25
297.441	1691.49
341.508	1687.74
392.104	1688.37
450.195	1690.88
516.893	1691.42
593.473	1693.63
681.398	1695.75
782.35	1698.19
898.258	1703.85
1031.34	1699.82
1184.13	1704.25
1359.57	1699.17
1560.99	1703.25
1792.26	1701.23
2057.79	1706.16
2362.66	1703.18
2712.69	1707.63
3114.59	1721.86
3576.03	1710.58
4105.83	1709.58
4714.12	1727.44
5412.54	1714.61
6214.42	1713.44
7135.11	1713.19
8192.21	1722.82
9405.91	1742.84
10799.4	1724.04
12399.4	1720.26
14236.4	1715.44
16345.6	1716.09
18767.3	1764.84
21547.7	1740.61
24740.1	1849.23
28405.4	67115.4
32613.8	40749.3
37445.6	40165
42993.3	1764.67
49362.9	4630.13
56676.2	43708.6
65073	51569.7
74713.8	45228.6
85782.9	3300.49
98492	7093.92
113084	2534.16
129838	42555.5
149074	9419.05
171159	3501.11
196517	11598.3
225632	25961.4
259060	5258.35
297441	1935.07
341508	2261.27
