(phosphorylation of MAPK).k7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.340408	17490.9
0.390841	19626
0.448745	8788.64
0.515228	1779.62
0.591561	20450.5
0.679203	1761.58
0.77983	20057.4
0.895364	2304.13
1.02802	20685.6
1.18032	20362.8
1.35519	15517.7
1.55596	16538.4
1.78649	3288.13
2.05116	1757.93
2.35505	1725.79
2.70396	1707.67
3.10456	10085.2
3.56451	1711.95
4.0926	1706.78
4.69894	1702.54
5.3951	1706.09
6.19441	1721.36
7.11213	1846.13
8.16582	1703.19
9.37561	1699.17
10.7646	1696.59
12.3595	1693.94
14.1906	1698.27
16.293	1719.34
18.7068	1699.81
21.4783	1707.19
24.6604	1729.18
28.3139	1692.87
32.5087	1698.6
37.325	1696.02
42.8548	1698.69
49.2039	1698.24
56.4937	1692.68
64.8634	1774.98
74.4732	1695.41
85.5066	1694.76
98.1747	1702.87
112.72	1687.58
129.42	1690.02
148.593	1690.54
170.608	1690.72
195.884	1689.61
224.905	1688.94
258.226	1688.94
296.483	1689.71
340.408	1687.74
390.841	1687.78
448.745	1690.82
515.228	1687.9
591.561	1692.37
679.203	1690.28
779.83	1692.76
895.364	1694.95
1028.02	1711.14
1180.32	1706.97
1355.19	1690.15
1555.96	1732.19
1786.49	1720.61
2051.16	1729.72
2355.05	1806.36
2703.96	1810.7
3104.56	1865.58
3564.51	2013.92
4092.6	2325.68
4698.94	2796.57
5395.1	3774.6
6194.41	4877.8
7112.13	3677.27
8165.82	32492.7
9375.61	27646.4
10764.6	28195.6
12359.5	49302.7
14190.6	54353.9
16293	69181.5
18706.8	58895.7
21478.3	58646.2
24660.4	62488.3
28313.9	57109.1
32508.7	63414
37325	57362.2
42854.8	65563
49203.9	58404.7
56493.7	58394.2
64863.4	57952.4
74473.2	58386.2
85506.6	53416.4
98174.7	58750.4
112720	59407.1
129420	44711.3
148593	53006
170608	58646.9
195884	58917.1
224905	45784.7
258226	51071.5
296483	49200.5
340408	55370.3
