INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: //home/b3053674/Documents/pycotools/pycotools/logging_config.conf
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kdiss_Smads_Complex_n.png"
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smad2c.png"
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smads_Complex_c.png"
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smad4c.png"
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kdeg_T2R_EE.png"
INFO:pycotools.viz:viz:plot:1559:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/k_Smads_Complex_c.png"
INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: /home/b3053674/Documents/pycotools/pycotools/logging_config.conf
INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: /home/b3053674/Documents/pycotools/pycotools/logging_config.conf
DEBUG:pycotools.viz:viz:__init__:420:copasi file --> None
INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: /home/b3053674/Documents/pycotools/pycotools/logging_config.conf
DEBUG:pycotools.viz:viz:__init__:420:copasi file --> None
DEBUG:pycotools.viz:viz:__init__:420:copasi file --> None
DEBUG:pycotools.viz:viz:__init__:420:copasi file --> None
DEBUG:pycotools.viz:viz:__init__:420:copasi file --> None
INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: /home/b3053674/Documents/pycotools/pycotools/logging_config.conf
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/Smad4n.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/Smad4c.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/Smad3n.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/Smad3c.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/T2R_Surf.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/T1R_EE.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "/home/b3053674/Documents/Models/2017/10_Oct/TutorialWorkspace/ParameterEstimationPlots/parameter_estimation_synthetic_data/T1R_Cave.png"
