Time	[X]	[Y]	[Z]
0.243	6.16511	-13.9284	48.5256
0.244	5.9652	-13.9234	48.2476
0.245	5.76734	-13.9165	47.9735
0.246	5.57153	-13.9078	47.7032
0.247	5.37775	-13.8974	47.4369
0.248	5.18602	-13.8856	47.1743
0.249	4.99632	-13.8723	46.9154
0.25	4.80864	-13.8578	46.6603
0.251	4.62299	-13.8422	46.4089
0.252	4.43934	-13.8255	46.161
0.253	4.25769	-13.8078	45.9168
0.254	4.07802	-13.7893	45.6761
0.255	3.90034	-13.7701	45.4389
0.256	3.72461	-13.7503	45.2052
0.257	3.55083	-13.7299	44.9748
0.258	3.37899	-13.709	44.7478
0.259	3.20907	-13.6878	44.5242
0.26	3.04105	-13.6663	44.3038
0.261	2.87492	-13.6446	44.0866
0.262	2.71065	-13.6227	43.8726
0.263	2.54824	-13.6008	43.6618
0.264	2.38766	-13.579	43.454
0.265	2.2289	-13.5572	43.2493
0.266	2.07194	-13.5355	43.0476
0.267	1.91675	-13.5141	42.8488
0.268	1.76331	-13.4929	42.6529
0.269	1.61162	-13.472	42.46
0.27	1.46163	-13.4516	42.2698
0.271	1.31335	-13.4316	42.0825
0.272	1.16673	-13.412	41.8979
0.273	1.02176	-13.393	41.716
0.274	0.878426	-13.3746	41.5368
0.275	0.736695	-13.3568	41.3602
0.276	0.596548	-13.3397	41.1862
0.277	0.457962	-13.3233	41.0148
0.278	0.320914	-13.3077	40.8459
0.279	0.185382	-13.2928	40.6794
0.28	0.0513424	-13.2788	40.5155
0.281	-0.0812283	-13.2656	40.3539
0.282	-0.212353	-13.2533	40.1948
0.283	-0.342056	-13.242	40.038
0.284	-0.47036	-13.2316	39.8835
0.285	-0.597288	-13.2222	39.7314
0.286	-0.722865	-13.2137	39.5815
0.287	-0.847113	-13.2063	39.4338
0.288	-0.970057	-13.2	39.2884
0.289	-1.09172	-13.1948	39.1451
0.29	-1.21213	-13.1906	39.004
0.291	-1.3313	-13.1876	38.865
0.292	-1.44926	-13.1857	38.7282
0.293	-1.56603	-13.185	38.5934
0.294	-1.68165	-13.1854	38.4607
0.295	-1.79612	-13.187	38.3301
0.296	-1.90947	-13.1899	38.2015
0.297	-2.02173	-13.194	38.0748
0.298	-2.13292	-13.1993	37.9502
0.299	-2.24307	-13.2058	37.8275
0.3	-2.35219	-13.2136	37.7068
0.301	-2.4603	-13.2227	37.588
0.302	-2.56744	-13.2331	37.4712
0.303	-2.67362	-13.2448	37.3562
0.304	-2.77887	-13.2578	37.2431
0.305	-2.88321	-13.2721	37.132
0.306	-2.98666	-13.2877	37.0226
0.307	-3.08924	-13.3046	36.9151
0.308	-3.19097	-13.3229	36.8095
0.309	-3.29188	-13.3425	36.7057
0.31	-3.39199	-13.3635	36.6037
0.311	-3.49132	-13.3858	36.5035
0.312	-3.58989	-13.4094	36.4051
0.313	-3.68772	-13.4344	36.3085
0.314	-3.78483	-13.4608	36.2137
0.315	-3.88124	-13.4886	36.1207
0.316	-3.97698	-13.5177	36.0295
0.317	-4.07206	-13.5481	35.94
0.318	-4.16651	-13.58	35.8523
0.319	-4.26034	-13.6132	35.7664
0.32	-4.35357	-13.6478	35.6822
0.321	-4.44623	-13.6838	35.5997
0.322	-4.53833	-13.7211	35.519
0.323	-4.62989	-13.7598	35.4401
0.324	-4.72094	-13.7999	35.3629
0.325	-4.81148	-13.8413	35.2875
0.326	-4.90154	-13.8841	35.2138
0.327	-4.99114	-13.9283	35.1419
0.328	-5.08029	-13.9739	35.0717
0.329	-5.16901	-14.0207	35.0033
0.33	-5.25733	-14.069	34.9367
0.331	-5.34525	-14.1186	34.8718
0.332	-5.4328	-14.1696	34.8086
0.333	-5.51999	-14.2219	34.7472
0.334	-5.60685	-14.2755	34.6876
0.335	-5.69337	-14.3305	34.6298
0.336	-5.77959	-14.3868	34.5738
0.337	-5.86552	-14.4444	34.5195
0.338	-5.95118	-14.5034	34.4671
0.339	-6.03657	-14.5636	34.4164
0.34	-6.12172	-14.6252	34.3676
0.341	-6.20665	-14.6881	34.3206
0.342	-6.29136	-14.7522	34.2753
0.343	-6.37587	-14.8177	34.232
