Cell Type,Repeat,0,1,2,4,8,12,18,24,30,36,42,48
Adult,1,0.0033892569,0.0055894806,0.0341835084,0.0131029527,0.0074959653,0.0172456875,0.0166999891,0.0188304784,0.0168416167,0.019572613,0.0152688657,0.0162192834
Adult,2,0.0037966703,0.0097580829,0.0170183113,0.0174156698,0.0087400089,0.009395226,0.0123261045,0.0111480915,0.0135167553,0.0217909229,0.01932217,0.0350484587
Adult,3,0.0088194926,0.0049282408,0.0187405411,0.0106570538,0.0083988206,0.0090458386,0.0101432104,0.010103886,0.0166873789,0.0207468083,0.017571495,0.0216214222
Adult,4,0.004563065,0.0011679802,0.0105921266,0.0112536978,0.0097691288,0.0105178973,0.013861901,0.0207311998,0.018654094,0.0117548567,0.0273570722,0.0242922812
Adult,5,0.0066178465,0.0065320781,0.0172522496,0.0133191965,0.0180589543,0.013392964,0.0172030571,0.0092336814,0.0158697753,0.0236088802,0.0212855009,0.0268674064
Adult,6,0.0080489846,0.0056903534,0.0163969982,0.0120612283,0.0117395626,0.0099781883,0.0131595622,0.0215950105,0.017832557,0.0274698199,0.0246352013,0.0253608849
IR,1,0.0040119484,0.007220111,0.0871270287,0.0371964886,0.0333794239,0.0418784846,0.0332141906,0.0389132645,0.0276804784,0.0341123505,0.019141806,0.0353445682
IR,2,0.0050690644,0.0137782524,0.0915909839,0.0465413353,0.0253171254,0.0324208251,0.0304365565,0.0349091815,,0.0315521917,0.0189092955,0.0422399361
IR,3,0.0049310977,0.0078780497,0.0457388324,0.0474459853,0.0336208552,0.0319371548,0.024869394,0.0320538503,,0.0389291537,0.0217885891,0.0459774812
IR,4,0.0043773598,0.0048993751,0.0512298189,0.0315152853,0.0269814883,0.0300085975,0.0332222467,0.0257506044,,0.0362507635,0.022866113,0.0327630658
IR,5,0.0023054717,0.0083601182,0.071136739,0.0345061704,0.0367418496,0.0454333771,0.04339622,0.022841416,,0.0390154628,0.0225309846,0.0331538895
IR,6,0.0074291834,0.0147709997,0.0723753467,0.0308248379,0.0466746359,0.0315452338,0.0283716344,0.0305603034,,0.0371834738,0.018655323,0.0299415427
Neonatal,1,0.0131224401,0.0545696013,0.207366263,0.0477530727,0.0451690635,0.0433845931,0.0614822771,0.0334303762,0.0454089417,0.0423084967,0.0492229949,0.0483440228
Neonatal,2,0.0074303409,0.0509657736,0.1754580344,0.0424396845,0.0458666221,0.0346069341,0.0531793865,0.0430532514,0.0403567902,0.0436890729,0.0369205032,0.0510366478
Neonatal,3,0.0109572708,0.0475782401,0.145784579,0.0405363188,0.0421717231,0.0468060558,0.0493847391,0.0475533281,0.0455368354,0.0512521208,0.0409840229,0.0467456425
Neonatal,4,0.0087058878,0.0411437165,0.1819758849,0.0427273098,0.0324493072,0.0429579996,0.050229821,0.0514759593,0.0545141358,0.040819575,0.0413298753,0.0561504807
Neonatal,5,0.0061020141,0.0513213961,0.1701534453,0.0449395137,0.0416498999,0.0436696806,0.0521292806,0.0470717977,0.0420402934,0.0550177168,0.0446081569,0.0430626451
Neonatal,6,0.0123490114,0.0571746819,0.1511071092,0.0301366463,0.0415221155,0.0443604762,0.0512223821,0.0565390581,0.0365908012,0.0502967097,0.0373425774,0.0464310643
