(phosphorylation_of_MAPKK).k3	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	0.1	0.224942	0.1	0.568721	0.1	20.4958	0.214052	0.329262	0.1	15.9497	59.3338	0.1	7.71425	11.1545	0.1	0.1	30.9773	2.8467	10.2649	0.1	2.40995	50577.4
2.50002	92.8666	0.151131	0.904201	0.1	0.1	27.6024	0.176074	0.1	0.100054	7.19356	0.102288	100.0	1.92792	2.78319	1.06694	14.7174	100.0	0.858	34.267	7.58803	3.70257	13775.5
5.00002	96.2388	0.287971	1.5025	0.140819	0.1	22.8001	0.147599	0.1	12.5953	0.1	0.1	100.0	1.22319	0.983126	0.1	19.4742	100.0	0.946946	54.5959	16.4042	21.1827	13591.6
7.50002	95.2498	0.102284	2.25816	0.100058	0.1	43.1164	0.120114	0.1	6.21065	0.738999	0.1	100.0	1.70197	0.1	1.88791	13.7512	100.0	1.06833	41.0418	7.06549	10.8488	17295.9
10.0	83.2217	0.180603	1.6155	0.188729	0.115612	88.6459	0.330818	0.1	31.8194	0.1	0.10006	100.0	1.45158	0.14884	0.1	8.59759	87.4317	0.845212	62.6084	31.8277	20.7986	14694.3
12.5	56.7399	0.360727	1.93022	0.1	0.1	87.7428	0.210955	0.1	23.9889	0.274039	0.10006	100.0	1.48678	0.1	0.1	17.5473	100.0	1.02892	47.9044	38.685	16.4845	16476.5
15.0	99.0737	0.226132	2.31962	0.171309	0.100012	71.5065	0.152375	0.100308	16.2537	1.13736	0.10006	99.995	1.86145	0.114966	1.45789	10.3972	99.9424	1.15195	65.9717	15.5437	8.81394	17149.8
17.5	89.5744	0.160248	2.16378	0.290641	0.1	82.2356	0.173759	0.1	20.628	1.34053	0.100301	100.0	1.89031	0.1	0.755239	4.03888	100.0	1.15797	77.0863	19.8014	14.2315	18290.4
20.0	96.6284	0.179853	2.3347	0.161919	0.1	64.4646	0.142812	0.1	17.2766	0.532804	0.1	100.0	1.7495	0.1	0.188601	26.94	100.0	1.16555	93.9838	16.5067	11.8854	17126.0
22.5	89.5139	0.245297	2.13146	0.128209	0.1	56.9938	0.134416	0.107085	11.6733	0.212944	0.10012	100.0	1.30745	0.1	0.843463	31.0036	100.0	1.22238	82.7007	11.6328	8.70509	17433.9
25.0	99.9396	0.17611	2.31974	0.112245	0.1	67.6387	0.146056	0.1	15.5092	0.43388	0.100783	100.0	1.6759	0.1	0.1	34.2567	100.0	1.17273	73.206	16.2135	12.9522	17210.3
