(phosphorylation_of_MAPK-P).k8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	5.89883	1.19991	4.02395	0.118006	5.41859	0.863597	0.399686	0.269311	14.2544	8.33946	1.25525	63.1198	1.08611	0.120673	3.47203	68.7072	2.2312	3.76154	96.8641	10.4116	0.269871	58180.9
2.50002	100.0	0.12503	1.32659	0.59638	6.95894	0.1	0.1	0.1	3.87988	20.5671	0.141911	100.0	5.64154	5.74132	0.107227	4.97214	100.0	1.03839	0.804071	1.05185	16.4291	6242.04
5.00002	81.22	0.118099	1.3516	0.303858	7.52788	0.1	0.1	0.1	4.56204	16.4905	6.96257	100.0	4.18144	4.11777	0.150267	0.142195	100.0	1.10052	0.634128	1.30057	21.0289	6714.31
7.50002	99.9965	0.128636	0.999167	0.27366	8.7254	0.104647	0.1	0.1	0.369408	15.1403	0.104095	100.0	3.54341	2.07544	0.296284	15.3755	100.0	1.02217	1.25534	1.07573	19.2568	6901.8
10.0	99.9983	0.100563	1.01915	0.342328	7.58902	0.100303	0.1	0.1	2.70161	15.0833	9.67283	100.0	5.41432	5.44095	1.42637	7.77138	100.0	1.07014	1.95061	1.26696	20.5284	6776.83
12.5	98.9022	0.100813	0.710953	0.131106	7.83858	0.1	0.1	0.1	3.41968	13.801	3.09733	100.0	3.00033	2.38089	0.102271	8.97467	100.0	1.04847	10.9619	1.14029	15.0141	7073.08
15.0	80.1566	0.119352	0.75468	0.153447	8.12639	0.1	0.1	0.1	2.10533	14.4695	0.23356	100.0	2.65879	2.01497	0.247911	8.43581	100.0	1.06277	13.2782	1.18796	14.2265	7144.95
17.5	94.9345	0.112283	0.688057	0.217609	7.36151	0.1	0.1	0.1	4.45924	0.164104	6.39333	100.0	4.06733	3.86561	0.168482	4.68869	100.0	1.08874	1.34777	1.23506	18.1573	6958.62
20.0	99.6582	0.115732	0.624447	0.164318	8.48386	0.100068	0.1	0.1	5.23201	8.23129	9.91954	100.0	4.17057	2.96339	1.47666	8.22573	99.9898	1.08606	10.7644	1.28858	20.5244	6976.89
22.5	68.7258	0.100499	0.745477	0.14345	9.61406	0.100816	0.1	0.1	1.13398	13.4188	0.135528	100.0	2.44601	1.52382	0.85245	10.9155	86.2912	1.07111	31.4523	1.27132	13.3271	7194.05
25.0	83.9926	0.104404	0.723877	0.139805	7.59186	0.1	0.1	0.1	1.72316	12.2209	0.281191	100.0	2.68455	1.36658	0.823609	6.96328	93.0394	1.04142	22.5186	1.14388	18.3132	7176.03
