Time	[Smad3n]	[Smad3c]	[Smad4n]	[Smad4c]	[T1R_Surf]	[T2R_Cave]	[T2R_Surf]	[Smads_Complex_n]	[T1R_EE]	[T1R_Cave]	[TGF_beta]	[LRC_Cave]	[LRC_Surf]	[Smads_Complex_c]	[T2R_EE]	[LRC_EE]	Values[Kexp_Smad2n]	Values[Kdeg_T1R_EE]	Values[Klid]	Values[Total_Smad2c]	Values[Total_Smad2n]	Values[kr_EE]	Values[ki_EE]	Values[v_T2R]	Values[v_T1R]	Values[k_LRC]	Values[Kcd]	Values[kr_Cave]	Values[ki_Cave]	Values[Kexp_Smad4n]	Values[Kdiss_Smads_Complex_n]	Values[Kimp_Smad2c]	Values[Kimp_Smads_Complex_c]	Values[Kimp_Smad4c]	Values[Kdeg_T2R_EE]	Values[k_Smads_Complex_c]
280	210.591	392.603	544.984	1043.02	0.00102312	0.916676	0.10977	188.869	0.0100178	0.0102196	0.0765006	2.01339e-06	0.0286328	45.6708	0.605039	0.25865	1	0.005	0.02609	438.273	399.46	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
300	211.116	394.709	545.077	1045.27	0.000979855	0.952103	0.112896	184.647	0.00929769	0.00947147	0.0767105	2.03335e-06	0.0282701	44.7965	0.625865	0.252331	1	0.005	0.02609	439.506	395.763	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
320	211.48	396.169	545.14	1046.83	0.00094667	0.982077	0.115531	181.716	0.00878845	0.00894415	0.076934	2.0482e-06	0.0280245	44.1924	0.643438	0.248021	1	0.005	0.02609	440.362	393.195	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
340	211.729	397.173	545.183	1047.9	0.000920658	1.00739	0.117751	179.697	0.00841645	0.0085601	0.077169	2.05891e-06	0.0278582	43.7777	0.658253	0.245088	1	0.005	0.02609	440.951	391.426	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
360	211.9	397.861	545.212	1048.64	0.000899857	1.02874	0.11962	178.314	0.0081364	0.00827177	0.0774135	2.06647e-06	0.0277453	43.4941	0.670734	0.243095	1	0.005	0.02609	441.355	390.214	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
380	212.017	398.331	545.231	1049.14	0.00088291	1.04674	0.121193	177.369	0.00791971	0.00804917	0.0776661	2.07174e-06	0.0276686	43.3006	0.681243	0.24174	1	0.005	0.02609	441.631	389.386	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
400	212.097	398.651	545.245	1049.48	0.000868867	1.06189	0.122516	176.724	0.00774789	0.00787301	0.0779255	2.07536e-06	0.0276163	43.1687	0.690089	0.240819	1	0.005	0.02609	441.82	388.821	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
420	212.151	398.869	545.254	1049.71	0.000857043	1.07465	0.12363	176.285	0.00760862	0.00773042	0.0781906	2.07784e-06	0.0275805	43.0788	0.697533	0.240192	1	0.005	0.02609	441.948	388.436	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
440	212.188	399.018	545.26	1049.87	0.000846942	1.08539	0.124566	175.985	0.00749346	0.00761268	0.0784605	2.07953e-06	0.027556	43.0174	0.703795	0.239764	1	0.005	0.02609	442.036	388.173	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
460	212.213	399.12	545.265	1049.98	0.000838193	1.09442	0.125354	175.78	0.00739654	0.00751369	0.0787344	2.08068e-06	0.0275391	42.9754	0.709062	0.239472	1	0.005	0.02609	442.095	387.994	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
480	212.231	399.19	545.268	1050.06	0.000830519	1.10202	0.126016	175.64	0.00731366	0.0074291	0.0790116	2.08145e-06	0.0275274	42.9466	0.713492	0.239271	1	0.005	0.02609	442.136	387.871	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
500	212.243	399.238	545.27	1050.11	0.000823708	1.10841	0.126573	175.544	0.00724174	0.00735575	0.0792917	2.08198e-06	0.0275193	42.9268	0.717217	0.239133	1	0.005	0.02609	442.165	387.786	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
520	212.251	399.271	545.271	1050.14	0.000817595	1.11378	0.127041	175.477	0.00717849	0.00729128	0.0795742	2.08234e-06	0.0275136	42.9131	0.720349	0.239038	1	0.005	0.02609	442.184	387.728	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
540	212.256	399.294	545.272	1050.17	0.000812052	1.1183	0.127435	175.431	0.00712218	0.0072339	0.0798586	2.08259e-06	0.0275096	42.9036	0.722982	0.238971	1	0.005	0.02609	442.197	387.688	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
560	212.26	399.31	545.273	1050.19	0.000806978	1.12209	0.127766	175.399	0.00707148	0.00718226	0.0801448	2.08275e-06	0.0275068	42.8969	0.725195	0.238925	1	0.005	0.02609	442.207	387.66	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
580	212.263	399.321	545.273	1050.2	0.000802291	1.12529	0.128044	175.377	0.00702534	0.00713529	0.0804323	2.08287e-06	0.0275048	42.8923	0.727056	0.238893	1	0.005	0.02609	442.213	387.64	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
600	212.265	399.329	545.274	1050.21	0.000797926	1.12797	0.128277	175.361	0.00698296	0.00709215	0.0807211	2.08295e-06	0.0275034	42.8891	0.728619	0.23887	1	0.005	0.02609	442.218	387.626	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
620	212.267	399.334	545.274	1050.21	0.00079383	1.13023	0.128474	175.35	0.00694367	0.00705218	0.0810108	2.08301e-06	0.0275025	42.8868	0.729933	0.238854	1	0.005	0.02609	442.221	387.617	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
640	212.267	399.338	545.274	1050.22	0.00078996	1.13212	0.128638	175.343	0.00690697	0.00701484	0.0813014	2.08305e-06	0.0275018	42.8852	0.731037	0.238843	1	0.005	0.02609	442.223	387.61	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
660	212.268	399.341	545.274	1050.22	0.00078628	1.13371	0.128777	175.337	0.00687242	0.0069797	0.0815927	2.08308e-06	0.0275013	42.8841	0.731965	0.238836	1	0.005	0.02609	442.225	387.605	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
680	212.269	399.343	545.274	1050.22	0.000782762	1.13505	0.128893	175.333	0.00683968	0.00694641	0.0818846	2.0831e-06	0.027501	42.8833	0.732744	0.23883	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
700	212.269	399.344	545.274	1050.22	0.000779382	1.13617	0.128991	175.331	0.00680848	0.00691468	0.0821769	2.08311e-06	0.0275009	42.8828	0.733399	0.238827	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
720	212.269	399.345	545.274	1050.22	0.000776119	1.13712	0.129073	175.329	0.00677857	0.00688428	0.0824697	2.08313e-06	0.0275008	42.8825	0.733948	0.238825	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
740	212.269	399.345	545.274	1050.22	0.000772958	1.13791	0.129142	175.328	0.00674977	0.00685501	0.0827629	2.08314e-06	0.0275008	42.8823	0.73441	0.238824	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
760	212.269	399.345	545.274	1050.22	0.000769884	1.13858	0.1292	175.328	0.00672192	0.0068267	0.0830563	2.08315e-06	0.0275008	42.8823	0.734797	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
780	212.269	399.345	545.274	1050.22	0.000766887	1.13913	0.129248	175.328	0.00669488	0.00679923	0.08335	2.08316e-06	0.0275009	42.8823	0.735122	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
800	212.269	399.345	545.274	1050.22	0.000763955	1.1396	0.129289	175.328	0.00666856	0.00677248	0.0836438	2.08316e-06	0.027501	42.8823	0.735394	0.238824	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
820	212.269	399.345	545.274	1050.22	0.000761083	1.13999	0.129323	175.328	0.00664285	0.00674636	0.0839379	2.08317e-06	0.0275012	42.8824	0.735623	0.238825	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
840	212.269	399.345	545.274	1050.22	0.000758262	1.14032	0.129351	175.329	0.00661769	0.00672079	0.0842321	2.08318e-06	0.0275013	42.8826	0.735814	0.238826	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
860	212.269	399.344	545.274	1050.22	0.000755487	1.1406	0.129375	175.329	0.006593	0.00669571	0.0845264	2.08318e-06	0.0275015	42.8827	0.735974	0.238827	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
880	212.269	399.344	545.274	1050.22	0.000752754	1.14083	0.129395	175.33	0.00656874	0.00667106	0.0848208	2.08319e-06	0.0275017	42.8829	0.736109	0.238829	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
900	212.269	399.344	545.274	1050.22	0.000750059	1.14102	0.129412	175.331	0.00654486	0.0066468	0.0851153	2.08319e-06	0.0275019	42.8832	0.736221	0.23883	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
920	212.269	399.343	545.274	1050.22	0.000747397	1.14119	0.129426	175.332	0.00652132	0.00662289	0.0854099	2.0832e-06	0.0275021	42.8834	0.736314	0.238832	1	0.005	0.02609	442.226	387.601	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
940	212.269	399.343	545.274	1050.22	0.000744767	1.14132	0.129437	175.333	0.00649809	0.00659929	0.0857045	2.0832e-06	0.0275023	42.8836	0.736393	0.238834	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
960	212.268	399.342	545.274	1050.22	0.000742166	1.14143	0.129447	175.334	0.00647514	0.00657599	0.0859992	2.08321e-06	0.0275026	42.8839	0.736458	0.238836	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
980	212.268	399.341	545.274	1050.22	0.000739592	1.14153	0.129455	175.335	0.00645246	0.00655294	0.0862939	2.08321e-06	0.0275028	42.8841	0.736512	0.238838	1	0.005	0.02609	442.226	387.603	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
1000	212.268	399.341	545.274	1050.22	0.000737043	1.1416	0.129462	175.336	0.00643001	0.00653015	0.0865886	2.08322e-06	0.027503	42.8844	0.736557	0.238839	1	0.005	0.02609	442.225	387.604	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
