(phosphorylation_of_MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	0.1	0.877729	0.106883	0.1	17.2989	0.265773	0.1	0.1	0.7642	0.100819	0.135127	35.6442	0.496289	99.9744	0.214835	99.8963	100.0	1.86091	41.8366	2.52665	1.22995	5460.9
1500.01	0.323612	0.770139	0.121513	0.1	0.791296	0.1	0.359642	0.1	98.2827	0.10598	0.439348	100.0	0.446261	100.0	0.1	87.5861	100.0	1.62326	37.5041	0.616091	3.836	3792.8
3000.01	0.31196	1.1113	0.157862	0.1	8.82383	0.1	0.567649	0.1	99.3517	0.145654	0.803602	100.0	0.719973	0.266157	0.859325	11.4707	100.0	1.6434	25.6485	0.601307	2.42873	4643.84
4500.01	0.103277	0.255069	0.198084	0.1	6.42678	0.105241	0.916764	0.1	99.962	0.111131	0.854708	100.0	1.12717	0.1	0.119486	4.27253	100.0	1.59831	30.0578	0.574439	8.33125	3878.74
6000.01	0.244593	2.34197	0.337055	0.275131	22.2845	0.138835	1.02242	0.1	99.9904	0.255023	0.828886	100.0	0.912439	100.0	1.15171	0.1	94.1466	1.57727	9.1311	0.50674	15.5153	11585.8
7500.01	0.19257	2.847	0.573669	0.539653	4.22843	0.103315	1.39159	0.1	98.872	0.207474	1.32463	100.0	0.817037	98.3322	5.67556	4.47604	88.8781	1.73921	48.3525	0.639846	10.9608	8386.2
9000.01	0.323623	1.91538	0.50281	0.290685	28.6309	0.179639	1.44416	0.1	100.0	0.239682	1.15581	100.0	1.07444	22.2102	0.765011	0.30856	98.9274	1.57234	25.4517	0.499457	1.98743	11782.0
10500.0	0.217473	2.47005	0.379452	0.300872	37.4072	0.18942	1.23235	0.1	100.0	0.240626	0.909906	100.0	1.0907	69.1268	2.49664	0.10384	98.0659	1.59865	10.3587	0.409628	20.8156	12128.3
12000.0	0.243717	2.15601	0.568687	0.212659	35.2286	0.176261	1.05255	0.1	99.99	0.284977	0.886165	100.0	2.24533	0.1	1.96759	0.953705	99.9885	1.57174	16.3234	0.319269	13.7925	13086.9
13500.0	0.396737	2.59727	0.48898	0.307224	45.6734	0.198771	1.89054	0.1	99.8873	0.270027	1.55932	100.0	1.06097	37.2321	1.05236	0.364943	93.2979	1.65382	20.935	0.47215	5.95671	11856.5
15000.0	0.1	0.293645	0.488791	0.1	55.3895	0.25134	1.74757	0.1	98.4748	0.736835	1.37054	100.0	1.39162	0.687513	0.101215	10.4353	100.0	1.50465	84.2079	0.394345	35.8445	5061.46
