(MAPKKK_activation).K1	(phosphorylation of MAPKK).KK3	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.01	100.0	0.656626	0.1	0.1	6.78348	0.105656	0.1	0.1	27.764	0.1	0.1	99.7991	0.408066	100.0	0.540455	100.0	100.0	1.34968	30.5918	1.21994	3.38759	3342.52
1000.01	38.2977	0.684481	0.123739	0.100979	34.1446	0.106835	0.1	0.100919	25.0621	0.110204	0.250696	41.0192	2.93023	100.0	0.602309	100.0	99.6288	1.32401	31.0682	1.18356	7.65295	5748.67
2000.01	18.4654	1.81892	0.289464	0.179351	23.0065	0.1	0.196433	0.17007	13.0554	0.120588	0.429939	5.08627	1.09388	100.0	1.12038	35.5882	70.0557	0.669473	28.3785	0.539194	2.73109	21124.6
3000.01	12.0808	1.28716	0.200955	0.10113	15.6312	0.1	0.229553	0.195528	33.1664	0.138713	0.221389	4.61554	0.944039	100.0	0.266439	62.2962	91.6107	0.450645	13.5506	0.315714	4.96097	22953.8
4000.01	41.7204	2.38926	0.206733	0.208686	25.9065	0.1	0.235131	0.154044	19.7804	0.117036	0.398414	0.345188	1.69541	99.4125	1.7128	14.5003	93.2109	0.737047	14.381	0.567686	2.40972	21320.9
5000.01	9.27369	0.853292	0.178737	0.1	24.1493	0.1	0.202756	0.16283	27.4618	0.100216	0.204212	2.77919	1.66212	100.0	0.1	7.98806	100.0	0.809265	31.8563	0.642201	2.50983	13612.3
6000.0	60.0039	1.4021	0.211947	0.135284	23.0066	0.1	0.277455	0.160748	24.3207	0.124885	0.209788	0.1	1.51524	100.0	0.950248	21.4451	99.1398	0.59042	13.78	0.417535	2.71125	22184.1
7000.0	78.5216	1.32337	0.208106	0.11455	21.712	0.1	0.303366	0.162948	13.2713	0.209511	0.253325	0.1	1.30592	100.0	0.90838	53.0143	89.7613	0.490293	13.1385	0.355669	2.93875	22642.5
8000.0	65.2084	1.58145	0.288331	0.143462	28.4964	0.1	0.289668	0.164728	21.3944	0.172405	0.340112	0.1	1.90195	100.0	0.700594	18.4667	98.999	0.755102	18.2841	0.565066	1.94885	21927.7
9000.0	18.0686	1.50563	0.2046	0.153082	29.396	0.1	0.271872	0.194433	42.9982	0.183108	0.257048	0.1	1.7457	98.9376	1.33967	2.87223	93.4797	1.04328	14.4778	0.78471	1.49656	21426.0
10000.0	10.9274	2.12911	0.326366	0.184645	38.4365	0.1	0.248012	0.196314	29.5783	0.176394	0.424234	2.48881	2.54038	96.745	2.36146	0.994662	91.337	1.05599	20.6174	0.869517	2.64563	20713.4
