(dephosphorylation_of_MAPK-PP).KK9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.10005	0.656626	0.100019	0.1	6.8076	0.105622	0.1	0.1	27.7818	0.1	99.78	0.408328	100.0	0.538371	100.0	100	1.34899	30.582	1.21838	3.40176	3338.98
1500.01	100.0	0.100003	1.80423	0.151573	0.1	8.27361	0.103406	0.1	0.1	23.7009	0.100065	100.0	0.408824	100.0	0.1	25.7122	100	1.34365	28.702	1.26875	3.70442	3576.85
3000.01	100.0	0.112463	1.98748	0.211835	0.1	10.6413	0.114955	0.1	0.1	35.8896	0.1	100.0	0.411254	100.0	0.1	11.596	100	1.40172	37.2924	1.20824	3.57899	3606.97
4500.01	100.0	0.10523	2.31351	0.232798	0.1	9.52845	0.108265	0.1	0.1	21.5533	0.10627	99.4764	0.409059	100.0	0.1	19.2947	100	1.32189	45.4103	1.25557	3.81289	3609.21
6000.01	100.0	0.113101	1.86021	0.202605	0.1	9.70899	0.118882	0.1	0.1	34.0255	0.115845	99.9681	0.415674	100.0	0.103007	9.33955	100	1.38914	33.7053	1.20749	3.19227	3642.34
7500.01	100.0	0.103664	1.49496	0.167947	0.1	8.8605	0.105332	0.1	0.1	23.2834	0.100966	99.1163	0.409117	100.0	0.1	15.4294	100	1.3454	28.6271	1.25684	3.99718	3663.2
9000.01	99.8592	0.103421	1.28539	0.153328	0.1	7.15834	0.105768	0.1	0.1	22.6963	0.100263	99.5862	0.411374	100.0	0.262557	12.7237	100	1.33086	24.0045	1.24417	3.52719	3681.0
10500.0	100.0	0.135562	1.80444	0.205496	0.1	10.741	0.112531	0.1	0.1	37.4472	0.107302	98.7868	0.409874	99.9962	0.100181	9.63393	100	1.43111	34.8662	1.2118	3.92729	3669.07
12000.0	100.0	0.119201	1.49167	0.170491	0.1	9.63109	0.112535	0.1	0.1	32.2962	0.10554	97.8035	0.407753	100.0	0.168786	8.70343	100	1.37591	26.7945	1.19265	3.61801	3679.69
13500.0	100.0	0.296002	3.08829	0.320895	0.1	15.6649	0.119055	0.1	0.1	31.697	0.102683	100.0	0.405454	100.0	0.100035	11.5257	100	1.36254	61.3243	1.20729	5.56655	3643.18
15000.0	99.991	0.153816	1.63645	0.206557	0.1	10.7328	0.120297	0.1	0.1	38.0311	0.115628	98.9171	0.418203	100.0	0.100132	8.74695	100	1.43595	34.7168	1.21454	3.29547	3681.55
