(phosphorylation_of_MAPKK-P).KK4	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	60.2304	0.169784	0.869809	0.16659	0.101907	4.00701	0.109292	0.196832	0.1	39.2537	0.157182	0.32289	0.284173	50.9804	0.436558	79.1526	99.9347	3.20115	48.2776	2.79706	0.621363	8027.09
1500.01	95.9002	0.226511	0.803453	0.105973	0.1	22.7906	0.285661	0.1	0.578536	43.7048	0.100067	0.100033	0.561193	100.0	0.954485	90.2906	100.0	0.99218	33.7068	1.38066	1.46931	4470.78
3000.01	31.2628	0.101463	0.513496	0.13486	0.1	5.23097	0.151107	0.100134	0.419752	100.0	0.233798	0.366352	0.77344	9.843	0.271577	51.7049	100.0	0.465817	32.5828	3.452	7.26697	20810.7
4500.01	84.5312	0.148587	0.145591	0.1734	0.107681	16.1781	0.115724	0.103551	0.446304	100.0	0.252516	0.263028	0.82826	13.0289	0.102083	34.4849	39.9284	0.1	12.3563	4.06299	8.49335	25592.9
6000.01	88.1831	0.120454	0.783627	0.103272	0.1	10.5995	0.174666	0.100417	0.740531	98.6843	0.280686	0.50558	0.825575	17.208	0.436217	100.0	100.0	0.214368	12.9448	3.34366	7.01419	21510.1
7500.01	99.9757	0.219872	0.18691	0.135289	0.232815	22.3105	0.328536	0.104929	0.631758	99.2269	0.180781	0.445162	0.943188	70.6615	0.110701	99.369	45.8523	0.287776	2.64301	3.25401	0.83517	28383.1
9000.01	99.2819	0.122363	0.124293	0.172957	0.285723	9.7453	0.1	0.1	0.424439	100.0	0.20365	0.197963	0.500982	76.2627	0.100222	61.4566	39.9272	0.1	0.87788	2.34752	1.27756	34447.3
10500.0	84.5901	0.144113	0.39956	0.109171	0.215736	12.9062	0.149075	0.100416	0.57451	99.9975	0.181536	0.381276	1.08156	11.3636	0.340613	38.125	100.0	0.1	2.82141	4.98071	5.80355	30538.6
12000.0	81.7587	0.118478	0.313107	0.195794	0.112114	14.5748	0.145226	0.119487	0.744056	100.0	0.221819	0.575546	1.38305	7.86543	0.369967	34.0933	90.1566	0.1	3.81846	5.52738	5.03971	28767.4
13500.0	99.3677	0.115313	0.450372	0.133422	0.1302	16.4149	0.103876	0.1	0.510474	99.9996	0.232529	0.370368	0.946453	23.1433	0.10325	31.6371	24.9382	0.1	2.32425	3.79289	5.01054	37430.4
15000.0	81.3082	0.221179	0.521924	0.153098	0.173692	9.11857	0.214201	0.1	0.558262	100.0	0.399097	0.406839	0.531218	65.5006	0.124153	1.70246	0.1	0.1	0.1	1.712	0.604607	36822.8
