(phosphorylation_of_MAPKK).k3	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	0.1	0.10854	0.1	0.255087	0.201633	2.90019	0.351529	0.1	5.56841	31.444	100.0	70.3234	3.71026	14.7289	0.1	1.63594	0.1	2.40316	0.1	0.1	1.00188	48758.2
2.50002	36.4604	0.152791	1.02571	0.103668	0.1	56.3498	0.397536	0.100315	5.48806	0.11737	0.1	100.0	1.14894	6.65884	0.1	38.9418	100.0	0.903912	97.4428	17.6757	0.88123	11949.9
5.00002	52.5391	0.10102	1.90013	0.176488	0.1	94.869	0.314255	0.100804	17.9137	0.241529	0.1	100.0	1.07292	0.101533	0.1	16.9718	99.9706	0.643677	83.5952	15.5998	13.871	15509.5
7.50002	89.3282	0.105817	1.95426	0.110972	0.1	80.1708	0.177278	0.1	10.4391	0.259886	0.1	100.0	1.49799	0.1	4.04764	48.366	100.0	1.07476	98.2458	8.08285	14.3548	17251.3
10.0	99.182	0.136014	2.10311	0.169817	0.1	74.3108	0.163371	0.1	11.6288	0.420167	0.1	100.0	1.57174	0.1	0.1	21.521	100.0	1.10398	89.4474	8.33047	10.3762	17133.6
12.5	93.5341	0.136343	2.0969	0.178033	0.1	79.5404	0.158235	0.1	10.6361	0.936539	0.100601	100.0	2.11847	0.1	0.1	19.4189	100.0	1.16118	90.0641	8.03926	20.0009	17232.3
15.0	83.2165	0.102762	2.30528	0.1	0.1	80.1761	0.164676	0.1	15.4901	0.346145	0.1	100.0	1.61514	0.1	0.700339	58.1052	100.0	1.15266	93.8792	10.012	18.747	17285.1
17.5	99.8759	0.143582	2.29684	0.116635	0.1	99.7687	0.199773	0.1	13.3633	0.337263	0.322035	100.0	1.58543	0.1	0.1	46.5366	100.0	1.09463	94.5016	8.53161	15.0025	17295.2
20.0	98.3441	0.149739	2.34916	0.130155	0.1	98.564	0.18439	0.1	16.151	0.448393	0.1	100.0	1.73488	0.1	0.1	41.7843	100.0	1.18516	97.3505	10.4953	32.3592	17249.1
22.5	52.0581	0.146609	2.1298	0.105283	0.1	98.409	0.174628	0.154886	11.9204	0.1	0.1	100.0	0.732313	3.63923	0.1	51.6576	100.0	1.82417	94.4855	8.49055	18.665	17627.9
25.0	45.0695	0.101012	1.6117	0.100003	0.1	79.4001	0.152844	0.154644	8.98072	0.1	0.103407	100.0	0.747743	4.02693	4.86293	45.3554	100.0	1.7722	91.4193	6.83274	12.0198	17939.0
