(dephosphorylation_of_MAPKK-PP).KK5	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	43.2756	0.100942	0.335514	0.100001	0.1	11.7279	0.133073	0.1	0.128463	0.116834	0.100105	100.0	0.417868	91.5394	0.365967	97.7089	100.0	1.50235	29.5759	1.89417	2.2049	4300.15
1500.01	99.9962	0.168368	0.931046	0.206442	0.1	2.44643	0.110903	0.1	0.1	0.11614	0.137012	100.0	0.391054	100.0	0.1	17.4057	100.0	8.39745	45.4335	0.784691	2.55791	4442.42
3000.01	0.1	0.287135	1.54491	0.128557	0.1	10.1011	0.178465	0.1	0.1	0.100001	0.340675	100.0	0.401561	99.9693	0.191119	81.3145	100.0	11.3923	55.9294	1.59101	1.48614	8744.92
4500.01	96.8294	0.111262	1.65647	0.153106	0.1	1.39547	0.100026	0.1	0.1	0.105041	0.416807	100.0	0.287491	100.0	0.10409	47.4914	89.1354	9.55019	43.8695	0.295031	3.73154	7479.77
6000.01	73.1405	0.272441	0.781791	0.247587	0.100001	0.100184	0.1	0.1	0.1	0.10005	0.229903	100.0	0.316489	100.0	0.242806	6.65439	100.0	16.3637	49.1088	0.399909	2.93382	6709.4
7500.01	67.4829	0.248118	1.37318	0.10922	0.102336	12.6568	0.105985	0.114166	0.1	0.141898	0.455363	100.0	0.205433	94.697	0.460593	98.8494	97.6691	10.9344	37.0113	0.571722	1.95608	16199.9
9000.01	98.8442	0.181337	0.927052	0.105962	0.1	2.31809	0.117055	0.1	0.1	0.106292	0.54352	99.8174	0.256282	83.5061	0.121341	79.2461	100.0	11.7827	30.5934	0.179268	2.00273	10116.3
10500.0	76.6746	0.305506	1.38604	0.170619	0.1	9.20614	0.163397	0.1	0.1	0.11769	0.56489	100.0	0.26285	99.9962	1.23234	44.1176	100.0	12.999	44.7599	0.18641	3.49066	10959.9
12000.0	31.6556	0.103161	1.08863	0.100111	0.1	12.465	0.100018	0.1	0.1	0.1882	0.10093	100.0	0.62802	0.12304	1.36903	100.0	100.0	5.20099	31.1305	2.60653	0.590932	25596.4
13500.0	69.2903	0.14461	1.07984	0.1	0.1	4.0457	0.151834	0.1	0.1	0.101536	0.397571	100.0	0.423025	100.0	1.16517	99.991	100.0	11.4857	30.3926	1.69628	1.90442	23671.3
15000.0	42.8673	0.139847	0.767228	0.113544	0.1	9.55968	0.123079	0.100005	0.1	0.100019	0.439038	100.0	0.388572	100.0	0.230717	99.9488	100.0	14.38	38.2702	2.09204	3.96723	23251.7
