Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P
0	1010.0	12000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460	135000	7000.0	0.0	82000.0	0.0	0.0
80	942.418	11330.0	139.307	33.3536	0.00546934	0.000416875	2.88947	0.0144767	1.84718	0.000713129	0.000108431	460	136533	6538.27	64.6928	82699.8	4.15783	2.44085e-05
160	879.524	10883.7	474.689	213.694	0.646808	0.155061	3.08803	0.323631	10.9271	0.0541803	0.0603802	460	137493	5984.08	127.317	82954.6	49.8053	0.0711341
240	820.962	10582.8	885.285	570.716	1.48301	0.99633	3.26519	1.61258	26.7273	0.548506	0.381254	460	138014	5420.07	184.21	82772.9	184.105	1.56344
320	766.427	10377.4	1292.36	1078.13	1.71195	2.19572	3.40887	4.37845	46.0827	2.48187	0.713103	460	138199	4901.59	233.455	82217.6	427.098	6.70935
400	715.635	10234.7	1653.32	1692.09	1.7616	3.47483	3.5154	8.54935	65.9654	7.27969	0.978996	460	138136	4456.69	274.598	81376.9	772.384	16.2516
480	668.318	10132.9	1952.65	2369.29	1.77223	4.76447	3.58497	13.6197	84.3388	16.3207	1.20691	460	137902	4091.71	307.806	80341.2	1198.19	30.2912
560	624.228	10057.3	2190.01	3074.0	1.77465	6.0499	3.61848	18.9634	100.164	30.5384	1.4205	460	137560	3800.98	333.344	79190.4	1677.67	48.8099
640	583.134	9998.64	2371.56	3779.17	1.77528	7.32806	3.61685	24.0529	113.108	50.2535	1.63529	460	137158	3574.33	351.478	77988.6	2185.35	71.7712
720	544.821	9950.79	2505.11	4465.11	1.77548	8.59828	3.581	28.5357	123.246	75.2009	1.86293	460	136730	3401.26	362.462	76785.1	2699.98	99.1364
800	509.088	9910.04	2597.91	5117.77	1.77556	9.86045	3.51179	32.221	130.834	104.654	2.11416	460	136301	3272.81	366.533	75616.0	3205.15	130.866
880	475.75	9874.21	2655.79	5727.15	1.7756	11.1146	3.41003	35.0339	136.183	137.576	2.40086	460	135887	3182.1	363.919	74507.4	3688.77	166.92
960	444.633	9842.04	2683.13	6286.02	1.77563	12.3606	3.27654	36.9687	139.581	172.749	2.73806	460	135500	3124.26	354.837	73478.2	4142.21	207.254
1040	415.574	9812.93	2682.85	6788.99	1.77564	13.5987	3.11211	38.055	141.269	208.879	3.14657	460	135146	3096.17	339.497	72542.2	4559.38	251.816
1120	388.425	9786.61	2656.65	7231.76	1.77565	14.8289	2.91756	38.3348	141.429	244.666	3.65741	460	134830	3096.23	318.111	71709.7	4935.96	300.546
1200	363.045	9763.0	2605.06	7610.56	1.77566	16.0512	2.69382	37.8502	140.177	278.842	4.31976	460	134554	3124.12	290.897	70989.4	5268.74	353.363
1280	339.305	9742.19	2527.47	7921.62	1.77566	17.2656	2.44193	36.6372	137.571	310.194	5.21708	460	134321	3180.73	258.103	70389.1	5555.09	410.15
1360	317.084	9724.32	2422.17	8160.69	1.77567	18.4722	2.16338	34.7246	133.608	337.563	6.50287	460	134134	3268.14	220.038	69916.9	5792.52	470.715
1440	296.269	9709.6	2286.31	8322.68	1.77567	19.6711	1.86051	32.1373	128.223	359.845	8.48876	460	133995	3389.61	177.166	69582.0	5978.31	534.704
1520	276.759	9698.26	2116.11	8401.25	1.77567	20.8623	1.538	28.9056	121.295	375.976	11.8922	460	133906	3549.31	130.365	69395.2	6109.15	601.338
1600	258.458	9690.61	1908.05	8388.9	1.77567	22.0459	1.20734	25.0871	112.658	384.946	18.6293	460	133872	3751.15	81.7314	69369.6	6180.96	668.603
1680	241.288	9686.88	1663.99	8278.61	1.77567	23.2218	0.90146	20.8156	102.201	385.871	34.3756	460	133896	3993.46	37.2014	69517.7	6189.02	730.609
1760	225.192	9687.0	1406.71	8071.1	1.77567	24.3902	0.695592	16.4038	90.1973	378.272	71.8094	460	133983	4253.07	9.9525	69842.2	6129.72	774.16
1840	210.14	9690.12	1182.96	7787.67	1.77567	25.5511	0.612795	12.3881	77.842	362.744	133.13	460	134128	4481.77	3.04205	70316.2	6005.69	796.205
1920	196.09	9695.21	1010.23	7461.56	1.77567	26.7046	0.567568	9.181	66.6429	341.291	202.892	460	134318	4660.74	1.70864	70887.6	5829.55	811.634
2000	182.978	9701.9	877.6	7115.67	1.77567	27.8506	0.529619	6.81064	57.253	316.372	276.01	460	134536	4800.8	1.15091	71510.5	5617.8	825.342
2080	170.743	9710.16	773.999	6763.08	1.77567	28.9893	0.495462	5.11629	49.6471	290.005	351.766	460	134768	4913.4	0.83863	72153.7	5384.43	837.923
2160	159.326	9719.89	691.495	6411.88	1.77566	30.1207	0.464147	3.91624	43.5554	263.603	429.862	460	135004	5006.64	0.640561	72797.3	5139.75	849.569
2240	148.674	9730.91	624.48	6067.36	1.77566	31.2448	0.435221	3.06202	38.6687	238.077	510.093	460	135239	5086.01	0.505144	73428.3	4891.02	860.385
2320	138.735	9742.96	568.961	5732.97	1.77565	32.3617	0.408402	2.44538	34.7121	213.977	592.29	460	135468	5155.22	0.407735	74039.1	4643.26	870.449
2400	129.461	9755.75	522.073	5410.87	1.77565	33.4714	0.383486	1.99146	31.4638	191.596	676.305	460	135689	5216.77	0.335038	74625.2	4399.93	879.821
2480	120.808	9769.0	481.752	5102.36	1.77564	34.574	0.360308	1.64966	28.7529	171.059	762.003	460	135902	5272.34	0.279242	75184.1	4163.31	888.553
2560	112.733	9782.46	446.506	4808.08	1.77564	35.6695	0.338731	1.38614	26.4511	152.378	849.259	460	136105	5323.11	0.235464	75715.0	3934.89	896.692
2640	105.2	9795.93	415.248	4528.25	1.77563	36.758	0.318633	1.17826	24.4632	135.497	937.957	460	136298	5369.88	0.200498	76217.7	3715.6	904.281
2720	98.1707	9809.25	387.184	4262.81	1.77562	37.8394	0.299905	1.01077	22.719	120.317	1027.99	460	136481	5413.24	0.172155	76692.8	3505.91	911.357
2800	91.6121	9822.28	361.731	4011.46	1.77561	38.9139	0.28245	0.873282	21.1671	106.718	1119.25	460	136654	5453.61	0.148896	77141.1	3306.06	917.957
2880	85.4925	9834.94	338.453	3773.81	1.7756	39.9816	0.266177	0.758631	19.7695	94.5709	1211.65	460	136818	5491.3	0.129605	77563.6	3116.02	924.112
2960	79.7826	9847.16	317.024	3549.36	1.77558	41.0423	0.251005	0.661769	18.4982	83.7451	1305.1	460	136973	5526.58	0.113459	77961.6	2935.68	929.853
3040	74.4549	9858.9	297.195	3337.55	1.77557	42.0963	0.236857	0.579076	17.3324	74.1138	1399.5	460	137120	5559.63	0.0998359	78336.2	2764.78	935.208
3120	69.4839	9870.13	278.774	3137.82	1.77555	43.1434	0.223663	0.507895	16.2565	65.5574	1494.79	460	137258	5590.63	0.0882614	78688.7	2603.04	940.204
3200	64.8457	9880.84	261.608	2949.59	1.77553	44.1838	0.211357	0.446228	15.2585	57.9643	1590.88	460	137389	5619.73	0.0783652	79020.1	2450.11	944.865
3280	60.5181	9891.03	245.575	2772.28	1.77551	45.2176	0.199879	0.392543	14.3292	51.2323	1687.71	460	137512	5647.05	0.0698564	79331.8	2305.63	949.212
3360	56.4801	9900.7	230.574	2605.31	1.77548	46.2446	0.189173	0.34563	13.4614	45.2681	1785.2	460	137628	5672.71	0.0625031	79624.8	2169.22	953.268
3440	52.7125	9909.87	216.522	2448.14	1.77545	47.2651	0.179187	0.304522	12.6492	39.9875	1883.29	460	137738	5696.81	0.0561192	79900.2	2040.51	957.052
3520	49.1971	9918.55	203.345	2300.24	1.77542	48.279	0.169872	0.268425	11.8878	35.3145	1981.93	460	137841	5719.45	0.0505536	80159.0	1919.11	960.582
3600	45.9171	9926.75	190.98	2161.08	1.77538	49.2863	0.161182	0.23668	11.1732	31.181	2081.06	460	137938	5740.72	0.0456824	80402.2	1804.67	963.876
3680	42.8566	9934.51	179.373	2030.18	1.77534	50.2872	0.153075	0.208732	10.502	27.5262	2180.62	460	138030	5760.7	0.0414039	80630.7	1696.81	966.949
3760	40.0011	9941.82	168.472	1907.08	1.77529	51.2816	0.145513	0.184107	9.87114	24.2956	2280.55	460	138116	5779.47	0.0376336	80845.3	1595.2	969.816
3840	37.3367	9948.72	158.233	1791.32	1.77523	52.2696	0.138458	0.162397	9.27803	21.4409	2380.83	460	138197	5797.09	0.0343007	81047.0	1499.5	972.491
3920	34.8507	9955.23	148.614	1682.49	1.77517	53.2511	0.131876	0.143251	8.72023	18.9189	2481.39	460	138274	5813.65	0.0313461	81236.3	1409.4	974.986
4000	32.5311	9961.37	139.576	1580.18	1.77509	54.2264	0.125735	0.126361	8.19558	16.6914	2582.2	460	138345	5829.21	0.0287198	81414.2	1324.57	977.314
