Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P	k13	k12	k11	k10	k17	k16	k15	k14	h	k19	k18	k3	k2	k1	k7	k6	k5	k4	k9	k8
960	480.878	10003.6	2717.48	5829.49	1.55965	12.8303	3.50112	38.3533	141.188	176.478	7.31751e-06	460	135175	3192.82	325.152	73730.3	4092.41	200.469	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1040	455.65	9976.33	2727.05	6345.69	1.55992	13.962	3.37772	38.6246	141.3	209.12	8.25426e-06	460	134884	3158.27	313.692	72851.9	4445.26	237.28	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1120	431.826	9952.08	2713.75	6808.34	1.56014	15.0935	3.20623	38.2491	140.269	240.728	9.40081e-06	460	134627	3148.65	297.766	72067.8	4760.3	277.201	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1200	409.193	9930.64	2678.85	7214.42	1.56033	16.2246	2.98895	37.272	138.168	270.304	1.08404e-05	460	134406	3162.85	277.587	71383.8	5035.97	320.231	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1280	387.556	9911.96	2622.71	7561.54	1.56047	17.3553	2.72795	35.7265	135.019	296.945	1.27059e-05	460	134221	3200.73	253.347	70804.7	5271.04	366.369	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1360	366.741	9896.05	2544.8	7847.43	1.56059	18.4857	2.4251	33.6358	130.798	319.826	1.52241e-05	460	134074	3263.09	225.221	70334.8	5464.36	415.613	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1440	346.589	9882.98	2443.67	8069.59	1.56068	19.6156	2.0821	31.0159	125.435	338.195	1.88168e-05	460	133966	3351.68	193.366	69979.0	5614.57	467.962	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1520	326.958	9872.9	2316.81	8224.91	1.56074	20.7451	1.70049	27.8797	118.803	351.343	2.43673e-05	460	133899	3469.29	157.926	69743.0	5719.81	523.416	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1600	307.717	9866.0	2160.5	8309.3	1.56078	21.8742	1.28165	24.2452	110.711	358.593	3.40914e-05	460	133876	3620.01	119.028	69634.6	5777.53	581.973	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1680	288.749	9862.55	1969.45	8317.17	1.5608	23.0028	0.826868	20.1475	100.888	359.277	5.55709e-05	460	133900	3809.47	76.7917	69664.0	5784.06	643.632	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1760	269.948	9862.95	1736.33	8240.88	1.56079	24.1309	0.337272	15.6607	88.9509	352.72	0.000142928	460	133976	4045.42	31.3224	69844.7	5734.31	708.392	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1840	251.3	9867.28	1459.69	8070.36	1.56076	25.2585	4.6249e-06	11.0685	74.8136	338.279	17.5514	460	134112	4329.02	7.04088e-05	70194.7	5621.37	758.7	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
1920	233.692	9871.79	1227.64	7813.22	1.56069	26.3856	3.77171e-06	7.82885	62.9481	317.069	70.8963	460	134300	4566.18	1.6215e-05	70696.1	5449.94	776.308	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2000	217.318	9876.9	1050.79	7500.58	1.5606	27.5122	3.43592e-06	5.73558	53.9072	292.205	128.566	460	134519	4747.87	8.31821e-06	71287.3	5240.4	792.682	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2080	202.091	9883.54	914.082	7156.23	1.56048	28.6382	3.16941e-06	4.34022	46.9252	265.992	190.473	460	134751	4891.08	5.2234e-06	71923.5	5008.48	807.909	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2160	187.931	9891.91	806.641	6796.68	1.56035	29.7636	2.93517e-06	3.37984	41.4444	239.936	256.535	460	134988	5007.25	3.60816e-06	72575.4	4765.2	822.069	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2240	174.763	9901.87	720.625	6433.27	1.56021	30.8884	2.72305e-06	2.69741	37.062	214.965	326.674	460	135222	5104.13	2.63618e-06	73224.0	4518.24	835.237	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2320	162.518	9913.12	650.401	6073.69	1.56005	32.0127	2.52866e-06	2.19729	33.4882	191.607	400.819	460	135450	5186.95	1.99901e-06	73857.2	4272.89	847.482	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2400	151.131	9925.32	591.926	5723.04	1.55989	33.1363	2.34951e-06	1.81993	30.5147	170.122	478.904	460	135669	5259.26	1.5567e-06	74467.7	4032.72	858.869	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2480	140.542	9938.11	542.298	5384.59	1.55971	34.2593	2.1839e-06	1.52754	27.9923	150.595	560.866	460	135878	5323.53	1.23681e-06	75051.3	3800.07	869.458	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2560	130.694	9951.22	499.427	5060.31	1.55954	35.3818	2.03053e-06	1.29557	25.8133	133.003	646.647	460	136076	5381.42	9.9821e-07	75606.0	3576.44	879.306	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2640	121.537	9964.4	461.806	4751.3	1.55935	36.5036	1.88833e-06	1.10773	23.9004	117.255	736.195	460	136264	5434.14	8.15914e-07	76130.8	3362.68	888.463	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2720	113.021	9977.46	428.342	4458.03	1.55916	37.6248	1.75639e-06	0.953	22.1975	103.227	829.457	460	136442	5482.52	6.73928e-07	76625.9	3159.23	896.979	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2800	105.102	9990.25	398.235	4180.53	1.55897	38.7453	1.6339e-06	0.82374	20.6637	90.7757	926.387	460	136609	5527.18	5.61576e-07	77091.9	2966.2	904.898	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2880	97.7379	10002.7	370.897	3918.56	1.55877	39.8653	1.52015e-06	0.714524	19.2691	79.7555	1026.94	460	136766	5568.59	4.71492e-07	77530.0	2783.53	912.262	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
2960	90.8897	10014.6	345.889	3671.69	1.55857	40.9846	1.41449e-06	0.621417	17.9914	70.0229	1131.08	460	136914	5607.08	3.9845e-07	77941.2	2610.99	919.11	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3040	84.5213	10026.1	322.879	3439.37	1.55836	42.1033	1.31632e-06	0.541488	16.8137	61.4421	1238.76	460	137053	5642.94	3.38653e-07	78326.9	2448.27	925.479	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3120	78.5991	10037.0	301.613	3220.97	1.55815	43.2214	1.2251e-06	0.472508	15.7235	53.8868	1349.96	460	137184	5676.41	2.89289e-07	78688.5	2294.99	931.401	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3200	73.0919	10047.5	281.891	3015.83	1.55793	44.3388	1.14032e-06	0.412734	14.7106	47.2414	1464.62	460	137306	5707.66	2.48237e-07	79027.2	2150.75	936.908	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3280	67.9705	10057.3	263.553	2823.28	1.55771	45.4555	1.06152e-06	0.360781	13.7671	41.4015	1582.74	460	137421	5736.87	2.13875e-07	79344.5	2015.12	942.029	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3360	63.208	10066.7	246.469	2642.64	1.55749	46.5717	9.88272e-07	0.315525	12.8867	36.273	1704.27	460	137529	5764.19	1.84947e-07	79641.6	1887.67	946.792	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3440	58.7792	10075.5	230.531	2473.24	1.55726	47.6872	9.20185e-07	0.276038	12.0639	31.7718	1829.19	460	137631	5789.74	1.60467e-07	79919.6	1767.97	951.221	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3520	54.6607	10083.8	215.647	2314.45	1.55703	48.802	8.56889e-07	0.241544	11.2943	27.823	1957.47	460	137726	5813.64	1.39654e-07	80179.9	1655.6	955.339	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3600	50.8308	10091.6	201.736	2165.64	1.5568	49.9162	7.98046e-07	0.211385	10.5739	24.3602	2089.09	460	137815	5836.0	1.21883e-07	80423.4	1550.15	959.169	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3680	47.2692	10099.0	188.728	2026.22	1.55656	51.0298	7.43339e-07	0.185003	9.8993	21.3248	2224.03	460	137898	5856.91	1.0665e-07	80651.3	1451.24	962.731	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3760	43.9572	10105.9	176.559	1895.64	1.55632	52.1427	6.92477e-07	0.161915	9.26737	18.6646	2362.26	460	137977	5876.49	9.35472e-08	80864.5	1358.48	966.043	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3840	40.8772	10112.4	165.173	1773.34	1.55607	53.2549	6.45188e-07	0.141706	8.67532	16.3341	2503.77	460	138050	5894.8	8.22395e-08	81063.9	1271.51	969.123	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
3920	38.0131	10118.5	154.518	1658.83	1.55582	54.3665	6.0122e-07	0.124013	8.12058	14.2927	2648.54	460	138119	5911.93	7.24511e-08	81250.5	1190.0	971.987	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
4000	35.3496	10124.2	144.546	1551.62	1.55557	55.4774	5.6034e-07	0.108522	7.6008	12.5049	2796.55	460	138183	5927.96	6.39558e-08	81425.0	1113.61	974.65	0.00164659	1.284e-06	21.8779	0.000113627	5.37297e-06	0.0209666	2.21237e-06	0.0329816	0.223549	1.13735e-06	0.0343489	59223.8	4.54019e-06	0.0318693	9.42672e-06	1.07311e-06	185.315	637.699	0.000699539	0.00953353
