(phosphorylation_of_MAPK-P).KK8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.5174	0.102771	1.6757	0.138956	0.1	18.0335	0.1	0.1	0.1	1.12069	0.101356	100.0	81.6847	0.503809	100.0	0.125589	97.7503	1.35154	11.6345	4.35779	4.12431	8214.0
1500.01	99.7274	0.18052	0.191139	0.120073	0.601069	14.6583	0.167597	0.1	0.1	36.9624	0.446165	99.5379	99.7136	0.445844	100.0	0.100873	100.0	1.4025	44.6267	3.33559	2.19022	3424.81
3000.01	94.2848	0.139878	0.1	0.128078	0.478004	13.5332	0.182962	0.1	0.103228	44.0598	0.447469	0.1	94.3	0.489339	48.8346	0.10334	93.7256	1.48318	52.2508	1.15904	1.34133	4313.65
4500.01	99.6774	0.117543	0.1	0.304622	0.595475	26.1873	0.139909	0.1	0.1	29.1894	0.432505	99.049	97.1494	1.34493	4.2496	0.292417	0.111517	1.28757	4.35631	2.82322	99.628	2659.12
6000.01	99.8848	0.147672	0.1	0.311443	0.691972	21.8294	0.136753	0.1	0.1	58.3728	0.349304	88.8273	100.0	1.55783	3.83488	0.44762	0.1	1.44665	4.76242	2.52128	61.8789	2813.31
7500.01	17.3427	0.10021	0.1	0.186314	0.821042	32.2544	0.131522	0.1	0.20039	20.8996	0.753847	45.639	99.988	0.32005	79.4408	0.450386	66.26	2.5213	66.3969	3.73405	36.0694	6792.9
9000.01	98.1683	0.106136	0.1	0.330159	0.683726	38.6175	0.160103	0.1	0.259816	20.3927	0.433726	89.1077	100.0	1.22764	5.54656	0.465688	0.1	3.14538	17.205	3.37299	99.9284	5420.73
10500.0	32.8077	0.10929	0.1	0.229405	1.03932	36.3134	0.164427	0.1	0.142354	39.0236	0.865876	51.7255	77.5995	0.333253	99.7811	0.435698	87.4341	2.07408	97.9375	3.01458	36.4082	6870.37
12000.0	75.7888	0.100205	0.138972	0.153427	1.24264	49.8091	0.195373	0.188255	0.401149	52.4065	0.135898	77.3974	100.0	2.85351	0.31888	0.100318	99.9296	4.72325	93.3667	4.79347	87.9787	5905.48
13500.0	68.0307	0.186437	0.1	0.175896	0.514862	12.3293	0.210779	0.259773	0.241219	31.0394	0.482475	98.4461	100.0	0.66798	38.8454	0.300685	4.49948	1.14731	53.0183	2.10593	62.9986	24923.6
15000.0	6.88128	0.135539	0.1	0.210125	0.540481	29.6333	0.185636	0.145716	0.293526	40.9841	0.486557	43.3995	100.0	0.761664	9.23008	0.425019	3.25431	2.57143	61.9156	3.17847	98.976	23026.3
