(MAPKKK_activation).n	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	RSS
0.001	50.6355	0.176554	1.38835	0.126742	0.1	6.70037	0.1	0.4136	0.323281	41.9819	0.10236	0.171677	2.21527	0.101607	0.1832	0.1	3.97022	100.0	2.85085	18.0323	1.76403	16245.9
100.001	100.0	0.100026	0.707076	0.1	0.1	12.8578	0.100493	0.1	0.1	15.7698	0.1	100.0	93.9111	0.384926	100.0	0.11225	100.0	100.0	1.33925	29.5688	3.62357	3532.55
200.001	100.0	0.100058	0.70771	0.100006	0.1	12.8578	0.100499	0.1	0.1	15.795	0.1	100.0	94.0086	0.38505	100.0	0.111217	100.0	100.0	1.33925	29.5688	3.62519	3532.58
300.001	100.0	0.100064	0.706353	0.1	0.1	12.8496	0.100499	0.1	0.1	15.7698	0.1	100.0	94.0074	0.385173	100.0	0.108574	100.0	100.0	1.33925	29.5877	3.62519	3532.58
400.001	100.0	0.1	0.70884	0.1	0.1	12.8578	0.100499	0.1	0.1	15.8203	0.100001	99.9958	94.0074	0.385148	100.0	0.110873	100.0	100.0	1.34054	29.5688	3.62519	3532.59
500.0	100.0	0.100009	0.706579	0.1	0.1	12.8578	0.100493	0.1	0.1	15.7698	0.1	100.0	93.9472	0.384926	100.0	0.10774	100.0	100.0	1.33925	29.5783	3.62287	3532.57
600.0	100.0	0.100032	0.706579	0.1	0.1	12.8578	0.100499	0.1	0.1	15.7698	0.100006	100.0	93.9773	0.385173	100.0	0.100041	100.0	100.0	1.34011	29.5783	3.62635	3532.59
700.0	100.0	0.100288	0.707483	0.1	0.1	12.8134	0.100357	0.1	0.1	15.7244	0.1	100.0	93.9472	0.384557	100.0	0.10367	100.0	100.0	1.3384	29.5215	3.61939	3532.55
800.0	100.0	0.100137	0.706353	0.1	0.1	12.8537	0.100499	0.1	0.1	15.7648	0.100001	99.9958	93.9773	0.385173	100.0	0.107602	100.0	99.9997	1.33968	29.5688	3.62519	3532.59
900.0	100.0	0.100013	0.70771	0.1	0.1	12.8167	0.100499	0.1	0.1	15.7799	0.100065	100.0	94.1879	0.385173	100.0	0.107802	100.0	100.0	1.33754	29.5692	3.62171	3532.56
1000.0	100.0	0.100417	0.707936	0.1	0.1	12.8167	0.100499	0.1	0.1	15.7698	0.1	100.0	94.218	0.385173	100.0	0.107223	100.0	100.0	1.33754	29.5688	3.62171	3532.56
